Sample	Type
CTRL_P_77_1.C21L03	CTRL
CTRL_P_79_1.C21L02	CTRL
CTRL_P_85_1.C22L01	CTRL
CASE_111_P.C24L04	CASE
CASE_13_P.C23L04	CASE
CASE_16_P.C23L04	CASE
CASE_18_P.C24L01	CASE
CASE_209_P.C25L01	CASE
CASE_211_P.C25L01	CASE
CASE_34_P_2.C27L04	CASE
CASE_34_P.C24L02	CASE
CASE_3_P_2.C27L04	CASE
CASE_3_P.C23L03	CASE
CASE_41_P.C24L02	CASE
CASE_49_P.C24L03	CASE
CASE_93_P.C24L04	CASE
CASE_P_117_1_T.C23L02	CASE
CASE_P_198_1_T.C23L02	CASE
CASE_P_85_34_1.C23L01	CASE
CTRL_P_123_1.C23L01	CTRL
CTRL_P_134_1.C23L01	CTRL
CTRL_P_159_1.C27L04	CTRL
CTRL_P_181_1.C23L02	CTRL
CTRL_P_191_1.C23L03	CTRL
CTRL_P_203_1.C23L03	CTRL
CTRL_P_205_1.C24L01	CTRL
CTRL_P_218_1.C24L01	CTRL
CTRL_P_219_1.C23L04	CTRL
CTRL_P_221_1.C24L02	CTRL
CTRL_P_228_1.C24L03	CTRL
CTRL_P_244_1.C24L03	CTRL
CTRL_P_246_1.C25L01	CTRL
CTRL_P_258_1.C24L04	CTRL
CTRL_P_261_1.C25L02	CTRL
CTRL_P_273_1.C25L02	CTRL
CTRL_P_276_1.C25L02	CTRL
CTRL_P_278_1.C25L03	CTRL
CTRL_P_282_1.C25L03	CTRL
CTRL_P_285_1.C25L03	CTRL
CTRL_P_300_1.C25L04	CTRL
CTRL_P_305_1.C25L04	CTRL
CTRL_P_323_1.C25L04	CTRL
CTRL_P_324_1.C26L01	CTRL
CTRL_P_330_1.C26L01	CTRL
CTRL_P_338_1.C26L01	CTRL
CTRL_P_345_1.C26L02	CTRL
CTRL_P_348_1.C26L02	CTRL
CTRL_P_360_1.C26L02	CTRL
CTRL_P_375_1.C26L03	CTRL
CTRL_P_376_1.C26L03	CTRL
CTRL_P_390_1.C26L04	CTRL
CTRL_P_397_1.C26L03	CTRL
CTRL_P_398_1.C26L04	CTRL
CTRL_P_404_1.C27L01	CTRL
CTRL_P_410_1.C27L03	CTRL
CTRL_P_416_1.C27L03	CTRL
CTRL_P_431_1.C26L04	CTRL
CTRL_P_437_1.C27L01	CTRL
CTRL_P_462_1.C27L01	CTRL
CTRL_P_483_1.C27L02	CTRL
CTRL_P_488_1.C27L02	CTRL
CTRL_P_496_1.C27L02	CTRL
CTRL_P_530_1.C27L03	CTRL
CASE_101_P.C28L03	CASE
CASE_120_P.C28L04	CASE
CASE_39_P.C29L01	CASE
CASE_64_P.C28L02	CASE
CTRL_104_37_6_1.C28L02	CTRL
CTRL_140_39_3_1.C28L01	CTRL
CTRL_15_35_1.C28L01	CTRL
CTRL_31_28_1.C29L02	CTRL
CTRL_43_34_2_1.C28L03	CTRL
CTRL_48_38_3_1.C28L02	CTRL
CTRL_57_32_4_1.C28L03	CTRL
CTRL_58_31_6_1.C28L04	CTRL
CTRL_61_28_4_1.C28L04	CTRL
CTRL_64_33_2_1.C29L03	CTRL
CTRL_68_28_6_1.C29L01	CTRL
CTRL_C_27_1.C29L01	CTRL
CTRL_D_30_1.C28L01	CTRL
CTRL_F_26_1.C29L02	CTRL
CTRL_H_35_1.C29L02	CTRL
CTRL_P_115_1_C.C29L03	CTRL
CTRL_P_185_1_C.C29L03	CTRL
CTRL_P_358_1_C.C29L04	CTRL
CTRL_P_382_1_C.C29L04	CTRL
CTRL_P_383_1_C.C29L04	CTRL
